Date,Mainland China,Other Locations
20 Jan 2020,   278,   4
21 Jan 2020,   326,   6
22 Jan 2020,   547,   8
23 Jan 2020,   639,  14
24 Jan 2020,   916,  25
25 Jan 2020,  2000,  40
26 Jan 2020,  2700,  57
27 Jan 2020,  4400,  64
28 Jan 2020,  6000,  87
29 Jan 2020,  7700, 105
30 Jan 2020,  9700, 118
31 Jan 2020, 11200, 153
 1 Feb 2020, 14300, 173
 2 Feb 2020, 17200, 183
 3 Feb 2020, 19700, 188
 4 Feb 2020, 23700, 212
 5 Feb 2020, 27400, 227
 6 Feb 2020, 30600, 265
 7 Feb 2020, 34100, 317
 8 Feb 2020, 36800, 343
 9 Feb 2020, 39800, 361
10 Feb 2020, 42300, 457
11 Feb 2020, 44300, 476
